candidate_id,subject,family,record,retrieval_route,intake_basis,prior_route_status,probe_date,reachable_now,history_bulk,archive_fallback,structured_bytes,byte_count,sha256,admission_decision,admission_reason,trial_status,semantic_review,publication_status
C11,Procurement modification drift,revision_history,USAspending contract modification records,USAspending API,register_first,unprobed,,,,,,,pending,Requires a sample of modification history,pending_probe,not_started,not_assessed
C12,Clinical trial outcome switching,revision_history,ClinicalTrials.gov per-record revision history,ClinicalTrials.gov API,register_first,unprobed,,,,,,,pending,Requires a sample of per-record revision history,pending_probe,not_started,not_assessed
C13,Preprint numeric drift at scale,revision_history,arXiv version records,arXiv API,register_first,prior_trial_real_bytes,,,,,,,pending,Prior route evidence does not replace the v0.3 probe,pending_probe,not_started,not_assessed
C14,Incident register overlap,ai_record_drift,AIID and AIAAIC records,Bulk exports,replication,prior_trial_real_bytes,,,,,,,pending,Prior route evidence does not replace the v0.3 probe,pending_probe,not_started,not_assessed
C15,Leaderboard attrition,ai_record_drift,Leaderboard snapshots,Snapshot exports,replication,prior_trial_real_bytes,,,,,,,pending,Prior route evidence does not replace the v0.3 probe,pending_probe,not_started,not_assessed
C16,Open-weight licence drift,ai_record_drift,Repository licence history,git and Hugging Face history,replication,prior_trial_real_bytes,,,,,,,pending,Prior route evidence does not replace the v0.3 probe,pending_probe,not_started,not_assessed
C17,Deprecation notice lead time,ai_record_drift,Vendor deprecation pages,Wayback CDX,replication,prior_trial_real_bytes,,,,,,,pending,Prior route evidence does not replace the v0.3 probe,pending_probe,not_started,not_assessed
C18,Silent statutory amendment,revision_history,eCFR section version history,eCFR API,register_first,unprobed,,,,,,,pending,Requires a sample of section version history,pending_probe,not_started,not_assessed
C19,Airworthiness directive supersession,revision_history,FAA airworthiness directive supersession chains,FAA AD database,register_first,unprobed,,,,,,,pending,Requires a sample of supersession history,pending_probe,not_started,not_assessed
C20,Retraction latency,revision_history,Crossref and Retraction Watch records,Bulk data,register_first,unprobed,,,,,,,pending,Requires samples from both named records,pending_probe,not_started,not_assessed
